Algorithm,Silhouette,Davies-Bouldin,Calinski-Harabasz,Num_Clusters
KMeans,0.9082862579925742,0.14551837570986828,261069.12509164267,3
MeanShift,0.9082862579925742,0.14551837570986828,261069.12509164267,3
AgglomerativeClustering,0.9076658164479355,0.14585186649708307,254977.11854629626,3
DBSCAN,0.8318743883577131,0.2730349094125322,347265.34736418637,14
GaussianMixture,0.9075655028329327,0.1477107305902605,255053.40214205283,3
BIRCH,0.90823122031031,0.1455514890104895,260838.9722859645,3
