PC1,PC2
-0.6958959378443593,1.2111600101203437
-0.6958310244662735,1.2102452183591028
-0.7158719052158843,1.4926713243235306
-0.7061024296302864,1.354994992558093
-2.8219766323473885,-2.6231015342454134
-2.826349190793038,-2.561481255659076
-2.8212546656437665,-2.633275849800074
-0.7167667106645422,1.5052813698408718
-0.7138464997239251,1.4641282980344232
-0.7141230552825351,1.4680256571613435
-0.6958798085728808,1.2109327083668608
-0.698358678896078,1.2458661876544388
-0.7138055668398989,1.4635514513785388
-0.7045743041177788,1.3334598842305423
-0.7052181302073371,1.3425330032049063
-0.7138624276990263,1.4643527630187694
-0.6986329852434972,1.2497318497733285
-0.6957986400933104,1.2097888415928142
-0.7045461478924866,1.33306309263404
-0.6985058616105841,1.247940360014558
-0.6965449829549368,1.220306678146859
-0.6957241160275685,1.208738611218655
-0.6962535271128113,1.2161993367789552
-0.7107757416962419,1.4208536414485633
-0.6958700460036407,1.2107951293627677
-0.7023932445610583,1.3027233030803835
-0.7213551383627054,1.5699437858036394
-0.6985058616105841,1.247940360014558
-0.6993166383588177,1.2593662310963243
-0.6987237777975699,1.2510113438144177
-0.7197911212003031,1.5479028744106906
-0.6998464220849797,1.2668322080986656
-0.696058634829935,1.213452817340865
-0.6983563001002432,1.2458326644748499
-0.6957977398169659,1.2097761544486996
-0.7021925329066793,1.2998947741511313
-0.7076372613247089,1.3766246077522752
-0.6959384114270353,1.2117585690714905
-0.7080051040904818,1.3818084318188104
-3.8072804044108923,-3.0809057591535742
-3.817769978536545,-2.9330814389279807
-3.801495755287482,-3.162425925193527
-0.7032283456576031,1.3144919650334432
-0.6958373362116921,1.210334166629524
-0.7066909841416693,1.3632891968335672
-0.717872483556376,1.5208644739880146
-0.6995123854808049,1.2621247973543281
-0.6995897387849299,1.2632148987695546
-0.6993231177568374,1.2594575420109777
-0.697752657063365,1.2373258251583517
-0.6957722715509528,1.2094172429175338
-0.7055609907998532,1.347364766002301
-0.700909109333908,1.2818081278360602
-3.7939023902183653,-3.269435420156901
-0.6957710830461875,1.2094004939144836
-0.7148417814498532,1.478154305459117
-0.7145718985458084,1.474350980714657
-0.7144255218406407,1.4722881670409014
-0.7069816357496399,1.367385204531883
-0.708737828272451,1.392134347133863
-0.7146564747267854,1.4755428705197562
